business_id,name,address,city,state,postal_code,stars,review_count,review_id,user_id,user_given_stars,text,useful,funny,cool,sentiment
_zFva1D3lgJPvT-8vGQQJQ,Brookline Pub,734 Brookline Blvd,Pittsburgh,PA,15226,3,18,bcLadOT-6DqoXaSJRe73CQ,iEZHFtv4DTAZxUxluMj8yQ,2,"Moved to the area in October and made our first visit here in November. Apparently the owners were there and told us they were making menu and decor changes.. this was a good sign as the place was a literal dump. Well, went back last night and it was.worse. menu had nothing new to offer aside from below average bar food. The bar chairs were all torn to pieces as if relics of a time where bar fights were common. The townies in attendance were disheveled old men constantly staring at my girlfriend and the place, despite the no smoking sign, wreaked of smoke. Cheap beer, rough atmosphere, and creepy barflys.. maybe a good trip if already drunk",0,1,1,Negative
0PCBt3JKD6IooicImKNBzA,Nicky's Thai Kitchen,903 Penn Ave,Pittsburgh,PA,15222,4,469,t7new2_LDe7Wh5xk1Yxpvg,PR-zVYd816aMYI-h8YAD6Q,3,Decent Ambience. Food was pretty okish. Its loud because of tables placed very close to each other. Small flies spotted.,0,0,0,Negative
1dhPgc7E7IzzpxjHM2LphQ,Mad Mex - Oakland,370 Atwood St,Pittsburgh,PA,15213,3.5,248,bNbQopU61Leg0PKx9aWi-Q,0Pj91NFPtXWeIDaLp2kuyw,1,"Probably the worst Mexican food I've ever had, and definitely the worst service. They brought me and my wife back after I complained (something I RARELY do), and again, it was pathetic. Thank you to the GM for trying to keep our business, but your staff totally blew it.",2,0,0,Negative
1dhPgc7E7IzzpxjHM2LphQ,Mad Mex - Oakland,370 Atwood St,Pittsburgh,PA,15213,3.5,248,mtOdCJr_kBZp7j9Lw6hI1A,Ft1JbxBPhibiCboC3oty9A,2,"My friend and I went out to eat for a quick bite to eat- we both had nachos- I ordered mine with chicken and she ordered it with steak. Despite the large portion size, the nacho chips were dry and therefore texture wise felt stale. The cheese dried out and wasn't melted - in addition Both of our meats were dry. I would prefer to go to Emiliano's next time and get better nachos there.",2,0,0,Negative
1FDhJNAuPXRGbMi9x0muGA,Joe's Crab Shack,226 W Station Square Dr,Pittsburgh,PA,15219,3,95,#NAME?,vvkKcg7_5i-S5f4SuNEEDg,3,It was alright... nothing special. My mahi Mahi taco was dry as hell. I used my cheese from my chips for my taco. I asked the waitress for an extra side of cheese she told me it was $5.99 for a small plastic container of cheese. Smh.,0,0,0,Negative
_VHU9KZUHRLp2Hc2JOKlYg,Cioppino Restaurant & Cigar Bar,2350 Railroad St,Pittsburgh,PA,15222,4,152,uFNJJYJDDrWEEXy0ZTXCAA,73oH1XFqe-y40Y93F3uQLQ,3,It was ok. Monk fish saw better days .. Good wine selection .. Food lacked flavor ...,1,0,0,Negative
04kZ5CSh6oKhI5huU5bLdg,Bistro Penn,922 Penn Ave,Pittsburgh,PA,15222,3,249,IxW0XH_xNAZGW86qJe5GPQ,6ldbs7uuetv5UOWm_21REw,1,"Been a while since we posted. Haven't been too many places recently. I was headed to a local lunch spot downtown earlier than usual due to a 12:30 meeting (12:30? seriously?) and this was the first place we found that was serving lunch to the 1st lunch period crowd (remember those poor kids in elementary school that pulled the short straw and ate lunch at 11 AM - that was us that day). Now I am not a drinker. My dog imbibes more than I do, so the beer list was kind of lost on me (besides, I always think it is bad mojo to go into a meeting after lunch and wreak of anything, especially alcohol). My CW and I were the first to be seated - maybe that was our mistake. She ordered the quiche of the day and I ordered a sirloin burger w\/ sweet potato fries. Her salad was okay. Nice greens although not much else going on in it. From there, it went straight downhill. When CW's quiche arrived, it was lovely to look at - leeks and andouille sausage - and cold. Not warm, not cooler than you would prefer. It was flipping cold. So she explained that to the waiter who took it back. Then she waited and waited and waited. Expecting it to be nuked, this was taking quite a while. When he brought the plate out, it was a new piece of quiche - he explained that when they tried to heat up the original piece, it crumbled so they made a new quiche. As a former waitstaff (waitress but trying to be PC here), I would have stayed around and made sure that this piece was more to her liking. But he bolted. And - you guessed - this piece was equally as bad. Now I know - you are going to say she was picky. But I actually touched the quiche to allay my fears and it was flipping cold. My guess? The quiches were either chilled or frozen and they didn't know how to reheat them. She ended up with a 1\/2 of a chicken salad panini with dried cherries although I will be darned if there were any dried cherries in it. So CW is going vote this bistro off the island. My lunch? I ordered the Brew-a-Burger Sirloin rare. When it came, I don't think it was much warmer than CW's quiche - yes, I order it rare and expect the inside to be warm but I also expect the outside to be hot which it wasn't. The cheese sat on the top and never softened, let alone melted. I also expect a rare burger to be flavorful without the addition of much else - and it wasn't. About 1\/2 way through, I almost wondered if they had given me a ground chicken burger in error. At that point, I figured it was not worth pursuing. Should they have given CW a free lunch? Or a GC for a free lunch upon a return visit? Doesn't matter what they should have done as they did nothing - the bill arrived and was paid as expected. All in all, it was not a great food experience. I don't think we will be returning for lunch anytime soon. Was it a bad day for the kitchen? Did we arrive before they were really ready to serve lunch? Not sure but, either way, when you spend $25 plus tip for lunch, I think there are better places to drop it. Pity the kitchen staff cannot live up to the restaurant's name.",2,0,0,Negative
_7nELtYw3n2DzMN8252lhQ,Village Tavern and Trattoria,424 S Main St,Pittsburgh,PA,15220,3.5,38,o75IQvUNyJ93jhCczwiq-g,7Yw_kRFEJXKgo6c2qyUGpw,1,"It is fairly remarkable that with all the other better options available in the Pittsburgh market serving Italian\/bar food that this place actually exists. While the ambience initially suggests otherwise, the overall experience was disappointing. Along with some of the other reviews, my service experience was lacking. The pizza was freezer quality. Along with the parking hassle, you'd be better off just about anywhere else. I rarely take the time to review unless the experience is exceptional one way or the other, and this place would qualify unfortunately as the other. Don't waste your time or money.",0,0,0,Negative
_AKdBFzkl7GY-daxUCCbVA,P.F. Chang's,1600 Settlers Ridge Center Dr,Pittsburgh,PA,15205,3,64,F3l6zTVAzPkBzmDVs3oZhQ,DCAKyYwrhKEbxT8XIfPIeQ,2,"I should predicate this review with a little background. I've visited this P.F. Changs probably 6 times over the past three years. It's usually because there are enough people at work who want to go that we all go. I found something on the menu that I liked and I stuck with it. Prior visits were unspectacular, but once I found ""Dan Dan Noodles"" I was set. At least I was until the visit before my most recent visit. They were bland in an ironic sort of extremely salty way. Do you know what I mean? I mean, it's hard to say that something that tastes like it just came out of a salt shaker is bland, but if that's the ONLY taste it has, then that's what my last order of Dan Dan Noodles tasted like. THIS time, I resolved to find something new to replace Dan Dan Noodles (can you tell I like saying Dan Dan Noodles? Because I do) for future visits. Meh. I'm done with PF Changs, at least lunch and dinner (because I still have a free happy hour dim sum for checking in on Yelp!). I ordered the Kung Pao chicken and found the Kung lacking and also no Pao. What they did NOT leave out, however, was the salt. Holy crap! The waitress (good waitress) gave me a replacement Mr. Pibb, suggesting I'd need it to finish my Kung Pao (presumably because it would be so spicy)...and I did need it. But just to wash down the salt. It was like I ordered a salt lick with a side of ...I'm not sure what...some sort of cold vinegar preparation of sliced vegetables. I was stuck as to whether they were pairing pseudo-kim che with my faux chinese food. Regardless it was not awesome. I'm not kidding when I say the most enjoyable part of the meal was the fried rice, which is not to say that the fried rice was good...it just wasn't as awful as everything else. People like this place, and I don't want my review to sway them away, but it was not good. The atmosphere is great, the wait staff was quick and efficient...but the food is expensive and not good.",5,0,1,Negative
1GaooxqCWHzulI2Ub3CXEw,Mad Mex - South Hills,"Scott Towne Center, 2101 Greentree Rd",Pittsburgh,PA,15220,3,107,fK5J8IsTvt7pw97oDaTFCA,AXJJBEnqAfvU6gYjzCVh9w,1,"While I LOVE Mad Mex, this one is to be avoided. For whatever reason, they always seem to manage to mess up orders and on a couple of occassions, I've just not felt well after eating there. Because it's a BB, I just keep thinking I had to be wrong about that. But after waking up in the middle of the night with all sorts of unpleasant stomach issues, I've had to write this location off. Go to Robinson instead... (Or BB, please, please get a new KM for this location!)",0,0,0,Negative
